,Artist_followers,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,Top50_dummy
79927,52571724.0,13.0,14.0,0.624,0.672,0.0,-5.334,1.0,0.106,0.0967,0.0,0.155,0.26,159.852,146959.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
87008,4023034.0,4.0,19.0,0.651,0.708,4.0,-4.791,1.0,0.0376,0.582,0.0,0.0796,0.558,119.964,202920.0,4.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12086,22910410.0,5.0,18.0,0.699,0.304,1.0,-11.192,1.0,0.0993,0.779,0.000993,0.137,0.271,119.705,160184.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
84191,25562055.0,1.0,1.0,0.585,0.757,4.0,-4.752,0.0,0.0599,0.101,0.0,0.273,0.208,78.018,301595.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33213,9442830.0,15.0,16.0,0.753,0.616,2.0,-7.34,1.0,0.165,0.00151,7.1e-06,0.291,0.287,156.83,196333.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89373,105380.0,9.0,9.0,0.762,0.383,5.0,-10.098,0.0,0.202,0.349,0.0,0.127,0.44,92.947,134213.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87764,2205092.0,1.0,1.0,0.602,0.946,4.0,-2.298,0.0,0.0654,0.066,1.13e-05,0.388,0.58,141.925,208133.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65993,2237000.0,5.0,12.0,0.642,0.782,5.0,-3.395,0.0,0.0477,0.381,0.0,0.108,0.396,162.005,195053.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19006,10065137.0,6.0,16.0,0.902,0.673,4.0,-7.481,1.0,0.458,0.159,0.0,0.289,0.615,132.066,177048.0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
70257,2130658.0,1.0,13.0,0.719,0.501,8.0,-8.84,0.0,0.239,0.257,0.0,0.189,0.419,136.025,226320.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13778,4472646.0,1.0,1.0,0.492,0.926,0.0,-5.257,1.0,0.188,3.74e-05,0.0187,0.475,0.479,149.957,160008.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87740,9442830.0,4.0,17.0,0.704,0.682,4.0,-5.862,0.0,0.307,0.174,0.0,0.121,0.594,149.988,237383.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65362,9717614.0,22.0,23.0,0.677,0.665,5.0,-6.949,1.0,0.487,0.337,0.0,0.115,0.522,87.637,240199.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86607,277480.0,1.0,1.0,0.798,0.568,5.0,-9.072,0.0,0.135,0.0213,0.0,0.0586,0.45,148.88,193911.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88686,2245922.0,5.0,10.0,0.84,0.192,6.0,-12.843,1.0,0.0514,0.409,6e-06,0.101,0.31,114.93,266227.0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85295,1936777.0,8.0,12.0,0.51,0.907,2.0,-4.239,1.0,0.441,0.244,0.0,0.133,0.521,93.442,260122.0,4.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
